wvg_height = 0.25 , mode = yO, SUBSRATE = Truem hx_min = 0.125, hy_min = 0.2
hx = 0.15, hy = 0.4, a = 0.339, w = 0.65, gamma = 0.10958, freqs = 182.8653 , 234.3834 
hx = 0.175, hy = 0.35, a = 0.34, w = 0.65, gamma = 0.10964, freqs = 183.6693 , 237.495 
hx = 0.175, hy = 0.375, a = 0.34, w = 0.65, gamma = 0.11053, freqs = 184.3283 , 241.2784 
hx = 0.175, hy = 0.375, a = 0.341, w = 0.65, gamma = 0.11095, freqs = 184.1667 , 240.942 
hx = 0.175, hy = 0.35, a = 0.342, w = 0.65, gamma = 0.1111, freqs = 183.0947 , 236.5339 
hx = 0.175, hy = 0.375, a = 0.342, w = 0.65, gamma = 0.11218, freqs = 183.7499 , 240.2482 
hx = 0.175, hy = 0.4, a = 0.342, w = 0.65, gamma = 0.11224, freqs = 184.5047 , 243.9606 
hx = 0.175, hy = 0.375, a = 0.343, w = 0.65, gamma = 0.11342, freqs = 183.3794 , 239.8198 
hx = 0.175, hy = 0.4, a = 0.343, w = 0.65, gamma = 0.11358, freqs = 184.126 , 243.4478 
hx = 0.175, hy = 0.375, a = 0.344, w = 0.65, gamma = 0.11452, freqs = 182.9713 , 239.1417 
hx = 0.175, hy = 0.4, a = 0.344, w = 0.65, gamma = 0.1148, freqs = 183.716 , 242.7092 
hx = 0.175, hy = 0.375, a = 0.345, w = 0.65, gamma = 0.11554, freqs = 182.5487 , 238.3869 
hx = 0.175, hy = 0.4, a = 0.345, w = 0.65, gamma = 0.11601, freqs = 183.3014 , 241.9893 
hx = 0.175, hy = 0.375, a = 0.346, w = 0.65, gamma = 0.11653, freqs = 182.1418 , 237.7065 
hx = 0.175, hy = 0.4, a = 0.346, w = 0.65, gamma = 0.11711, freqs = 182.8922 , 241.2528 
hx = 0.175, hy = 0.375, a = 0.347, w = 0.65, gamma = 0.11746, freqs = 181.7307 , 237.0172 
hx = 0.175, hy = 0.4, a = 0.347, w = 0.65, gamma = 0.11817, freqs = 182.4763 , 240.5035 
hx = 0.175, hy = 0.375, a = 0.348, w = 0.65, gamma = 0.11835, freqs = 181.3221 , 236.3335 
hx = 0.175, hy = 0.4, a = 0.348, w = 0.65, gamma = 0.11919, freqs = 182.0623 , 239.7746 
hx = 0.175, hy = 0.375, a = 0.349, w = 0.65, gamma = 0.11927, freqs = 180.9467 , 235.8378 
hx = 0.175, hy = 0.4, a = 0.349, w = 0.65, gamma = 0.12025, freqs = 181.6925 , 239.2976 
hx = 0.175, hy = 0.425, a = 0.349, w = 0.65, gamma = 0.12026, freqs = 182.5177 , 242.6683 
hx = 0.175, hy = 0.4, a = 0.35, w = 0.65, gamma = 0.12115, freqs = 181.2841 , 238.5704 
hx = 0.175, hy = 0.425, a = 0.35, w = 0.65, gamma = 0.1213, freqs = 182.1055 , 241.8987 
hx = 0.175, hy = 0.4, a = 0.351, w = 0.65, gamma = 0.12198, freqs = 180.8766 , 237.8309 
hx = 0.175, hy = 0.425, a = 0.351, w = 0.65, gamma = 0.12227, freqs = 181.6939 , 241.1184 
hx = 0.175, hy = 0.4, a = 0.352, w = 0.65, gamma = 0.12275, freqs = 180.4965 , 237.1735 
hx = 0.175, hy = 0.425, a = 0.352, w = 0.65, gamma = 0.12312, freqs = 181.3104 , 240.3906 
hx = 0.175, hy = 0.4, a = 0.353, w = 0.65, gamma = 0.12342, freqs = 180.1331 , 236.5357 
hx = 0.175, hy = 0.425, a = 0.353, w = 0.65, gamma = 0.1239, freqs = 180.9558 , 239.7491 
hx = 0.175, hy = 0.4, a = 0.354, w = 0.65, gamma = 0.12407, freqs = 179.7646 , 235.8912 
hx = 0.175, hy = 0.425, a = 0.354, w = 0.65, gamma = 0.12468, freqs = 180.5852 , 239.086 
hx = 0.175, hy = 0.4, a = 0.355, w = 0.65, gamma = 0.12473, freqs = 179.4576 , 235.466 
hx = 0.175, hy = 0.425, a = 0.355, w = 0.65, gamma = 0.12537, freqs = 180.2889 , 238.6411 
hx = 0.175, hy = 0.425, a = 0.356, w = 0.65, gamma = 0.12602, freqs = 179.9278 , 237.9614 
hx = 0.175, hy = 0.425, a = 0.357, w = 0.65, gamma = 0.12664, freqs = 179.5604 , 237.2728 
hx = 0.175, hy = 0.425, a = 0.358, w = 0.65, gamma = 0.12666, freqs = 179.4301 , 236.879 
hx = 0.2, hy = 0.375, a = 0.359, w = 0.65, gamma = 0.12687, freqs = 180.246 , 239.751 
hx = 0.175, hy = 0.425, a = 0.359, w = 0.65, gamma = 0.12721, freqs = 179.0649 , 236.1905 
hx = 0.2, hy = 0.375, a = 0.36, w = 0.65, gamma = 0.12778, freqs = 179.8436 , 239.1251 
hx = 0.2, hy = 0.375, a = 0.361, w = 0.65, gamma = 0.12863, freqs = 179.4489 , 238.5089 
hx = 0.2, hy = 0.375, a = 0.362, w = 0.65, gamma = 0.12959, freqs = 179.0865 , 238.1144 
hx = 0.2, hy = 0.4, a = 0.362, w = 0.65, gamma = 0.12959, freqs = 179.8739 , 240.7597 
hx = 0.2, hy = 0.375, a = 0.363, w = 0.65, gamma = 0.13032, freqs = 178.692 , 237.4645 
hx = 0.2, hy = 0.4, a = 0.363, w = 0.65, gamma = 0.13077, freqs = 179.4766 , 240.3715 
hx = 0.2, hy = 0.375, a = 0.364, w = 0.65, gamma = 0.13099, freqs = 178.2931 , 236.7897 
hx = 0.2, hy = 0.4, a = 0.364, w = 0.65, gamma = 0.13196, freqs = 179.0748 , 239.9989 
hx = 0.2, hy = 0.4, a = 0.365, w = 0.65, gamma = 0.13306, freqs = 178.6845 , 239.6165 
hx = 0.2, hy = 0.4, a = 0.366, w = 0.65, gamma = 0.13414, freqs = 178.2953 , 239.2397 
hx = 0.2, hy = 0.4, a = 0.367, w = 0.65, gamma = 0.13479, freqs = 177.8975 , 238.5207 
hx = 0.2, hy = 0.4, a = 0.368, w = 0.65, gamma = 0.13558, freqs = 177.5412 , 238.0707 
hx = 0.2, hy = 0.4, a = 0.369, w = 0.65, gamma = 0.1361, freqs = 177.1502 , 237.3389 
hx = 0.2, hy = 0.4, a = 0.37, w = 0.65, gamma = 0.13658, freqs = 176.7656 , 236.6251 
hx = 0.2, hy = 0.425, a = 0.37, w = 0.65, gamma = 0.13692, freqs = 177.6447 , 239.4165 
hx = 0.2, hy = 0.4, a = 0.371, w = 0.65, gamma = 0.13702, freqs = 176.3823 , 235.9212 
hx = 0.2, hy = 0.425, a = 0.371, w = 0.65, gamma = 0.13792, freqs = 177.2578 , 239.0257 
hx = 0.2, hy = 0.425, a = 0.372, w = 0.65, gamma = 0.13881, freqs = 176.8806 , 238.5981 
hx = 0.2, hy = 0.425, a = 0.373, w = 0.65, gamma = 0.13928, freqs = 176.5375 , 237.9733 
hx = 0.2, hy = 0.425, a = 0.374, w = 0.65, gamma = 0.13969, freqs = 176.1931 , 237.3278 
hx = 0.2, hy = 0.425, a = 0.375, w = 0.65, gamma = 0.13988, freqs = 175.9397 , 236.7875 
hx = 0.2, hy = 0.425, a = 0.376, w = 0.65, gamma = 0.14016, freqs = 175.7876 , 236.5862 
hx = 0.2, hy = 0.45, a = 0.376, w = 0.65, gamma = 0.14022, freqs = 176.7778 , 239.3669 
hx = 0.2, hy = 0.425, a = 0.377, w = 0.65, gamma = 0.14046, freqs = 175.4397 , 235.9095 
hx = 0.2, hy = 0.45, a = 0.377, w = 0.65, gamma = 0.14103, freqs = 176.4316 , 238.9733 
hx = 0.2, hy = 0.45, a = 0.378, w = 0.65, gamma = 0.14139, freqs = 176.0814 , 238.2564 
hx = 0.2, hy = 0.45, a = 0.379, w = 0.65, gamma = 0.14172, freqs = 175.7331 , 237.552 
hx = 0.2, hy = 0.45, a = 0.38, w = 0.65, gamma = 0.14201, freqs = 175.3859 , 236.8503 
hx = 0.2, hy = 0.45, a = 0.381, w = 0.65, gamma = 0.14227, freqs = 175.0347 , 236.1443 
hx = 0.2, hy = 0.45, a = 0.382, w = 0.65, gamma = 0.14249, freqs = 174.6847 , 235.4435 
hx = 0.2, hy = 0.45, a = 0.383, w = 0.65, gamma = 0.14284, freqs = 174.3536 , 234.8914 
hx = 0.2, hy = 0.45, a = 0.384, w = 0.65, gamma = 0.14296, freqs = 174.0043 , 234.1721 
hx = 0.2, hy = 0.45, a = 0.385, w = 0.65, gamma = 0.14299, freqs = 173.664 , 233.4459 
hx = 0.225, hy = 0.375, a = 0.386, w = 0.65, gamma = 0.14306, freqs = 173.4115 , 232.9514 
hx = 0.225, hy = 0.4, a = 0.386, w = 0.65, gamma = 0.14361, freqs = 174.2337 , 235.1179 
hx = 0.225, hy = 0.4, a = 0.387, w = 0.65, gamma = 0.14438, freqs = 173.8684 , 234.7804 
hx = 0.225, hy = 0.4, a = 0.388, w = 0.65, gamma = 0.14519, freqs = 173.5132 , 234.5057 
hx = 0.225, hy = 0.4, a = 0.389, w = 0.65, gamma = 0.14597, freqs = 173.1547 , 234.2104 
hx = 0.225, hy = 0.4, a = 0.39, w = 0.65, gamma = 0.14682, freqs = 172.8532 , 234.0926 
hx = 0.225, hy = 0.4, a = 0.391, w = 0.65, gamma = 0.14755, freqs = 172.5197 , 233.8424 
hx = 0.225, hy = 0.4, a = 0.392, w = 0.65, gamma = 0.14794, freqs = 172.1476 , 233.3103 
hx = 0.225, hy = 0.4, a = 0.393, w = 0.65, gamma = 0.14801, freqs = 171.7941 , 232.6462 
hx = 0.225, hy = 0.425, a = 0.393, w = 0.65, gamma = 0.14823, freqs = 172.6829 , 234.6108 
hx = 0.225, hy = 0.425, a = 0.394, w = 0.65, gamma = 0.14884, freqs = 172.2989 , 234.1717 
hx = 0.225, hy = 0.425, a = 0.395, w = 0.65, gamma = 0.1499, freqs = 172.3554 , 234.9536 
hx = 0.225, hy = 0.425, a = 0.396, w = 0.65, gamma = 0.15042, freqs = 172.0461 , 234.6173 
hx = 0.225, hy = 0.425, a = 0.397, w = 0.65, gamma = 0.15054, freqs = 171.7186 , 234.0055 
hx = 0.225, hy = 0.425, a = 0.398, w = 0.65, gamma = 0.15075, freqs = 171.4682 , 233.6228 
hx = 0.225, hy = 0.425, a = 0.399, w = 0.65, gamma = 0.15076, freqs = 171.156 , 233.0167 
hx = 0.225, hy = 0.45, a = 0.399, w = 0.65, gamma = 0.15117, freqs = 172.194 , 235.4025 
hx = 0.225, hy = 0.45, a = 0.4, w = 0.65, gamma = 0.15174, freqs = 171.8856 , 235.0935 
hx = 0.225, hy = 0.45, a = 0.401, w = 0.65, gamma = 0.15223, freqs = 171.5881 , 234.769 
hx = 0.225, hy = 0.45, a = 0.402, w = 0.65, gamma = 0.15245, freqs = 171.2731 , 234.2508 
hx = 0.225, hy = 0.475, a = 0.405, w = 0.65, gamma = 0.15262, freqs = 171.4765 , 234.7748 
hx = 0.225, hy = 0.475, a = 0.406, w = 0.65, gamma = 0.15289, freqs = 171.1551 , 234.2798 
hx = 0.225, hy = 0.475, a = 0.407, w = 0.65, gamma = 0.15289, freqs = 170.9113 , 233.792 
hx = 0.25, hy = 0.4, a = 0.411, w = 0.65, gamma = 0.15313, freqs = 169.4023 , 231.1414 
hx = 0.25, hy = 0.4, a = 0.412, w = 0.65, gamma = 0.15361, freqs = 169.0619 , 230.816 
hx = 0.25, hy = 0.4, a = 0.413, w = 0.65, gamma = 0.15411, freqs = 168.7207 , 230.5133 
hx = 0.25, hy = 0.425, a = 0.414, w = 0.65, gamma = 0.15438, freqs = 169.3082 , 231.6581 
hx = 0.25, hy = 0.425, a = 0.415, w = 0.65, gamma = 0.15507, freqs = 169.026 , 231.542 
hx = 0.25, hy = 0.425, a = 0.416, w = 0.65, gamma = 0.15551, freqs = 168.6868 , 231.2004 
hx = 0.25, hy = 0.425, a = 0.417, w = 0.65, gamma = 0.15637, freqs = 168.6129 , 231.5348 
hx = 0.25, hy = 0.425, a = 0.418, w = 0.65, gamma = 0.15679, freqs = 168.2832 , 231.2043 
hx = 0.25, hy = 0.425, a = 0.419, w = 0.65, gamma = 0.1568, freqs = 167.9461 , 230.6529 
hx = 0.25, hy = 0.45, a = 0.42, w = 0.65, gamma = 0.15713, freqs = 168.7224 , 232.1362 
hx = 0.25, hy = 0.45, a = 0.421, w = 0.65, gamma = 0.15748, freqs = 168.4349 , 231.8307 
hx = 0.25, hy = 0.45, a = 0.422, w = 0.65, gamma = 0.15781, freqs = 168.1352 , 231.4962 
hx = 0.25, hy = 0.45, a = 0.423, w = 0.65, gamma = 0.15813, freqs = 167.837 , 231.1706 
hx = 0.25, hy = 0.45, a = 0.424, w = 0.65, gamma = 0.15848, freqs = 167.6068 , 230.9802 
hx = 0.25, hy = 0.475, a = 0.428, w = 0.65, gamma = 0.15851, freqs = 167.6409 , 231.0507 
