wvg_height = 0.125 , mode = yO, SUBSRATE = True
hx = 0.225, hy = 0.35, a = 0.448, w = 0.65, gamma = 0.0882, freqs = 185.5302 , 226.1172 
hx = 0.225, hy = 0.35, a = 0.449, w = 0.65, gamma = 0.08874, freqs = 185.2352 , 225.6002 
hx = 0.225, hy = 0.35, a = 0.45, w = 0.65, gamma = 0.08917, freqs = 184.97 , 225.1216 
hx = 0.225, hy = 0.375, a = 0.438, w = 0.7, gamma = 0.08925, freqs = 185.9086 , 228.2485 
hx = 0.225, hy = 0.35, a = 0.439, w = 0.7, gamma = 0.08936, freqs = 185.1221 , 225.727 
hx = 0.225, hy = 0.375, a = 0.439, w = 0.7, gamma = 0.0899, freqs = 185.6091 , 227.7274 
hx = 0.225, hy = 0.4, a = 0.439, w = 0.7, gamma = 0.08999, freqs = 186.1768 , 229.892 
hx = 0.225, hy = 0.375, a = 0.44, w = 0.7, gamma = 0.09053, freqs = 185.3088 , 227.2238 
hx = 0.225, hy = 0.4, a = 0.44, w = 0.7, gamma = 0.09075, freqs = 185.864 , 229.3495 
hx = 0.225, hy = 0.375, a = 0.441, w = 0.7, gamma = 0.09116, freqs = 185.0139 , 226.764 
hx = 0.225, hy = 0.4, a = 0.441, w = 0.7, gamma = 0.09147, freqs = 185.5565 , 228.8305 
hx = 0.225, hy = 0.375, a = 0.442, w = 0.7, gamma = 0.09174, freqs = 184.7157 , 226.2764 
hx = 0.225, hy = 0.4, a = 0.442, w = 0.7, gamma = 0.09212, freqs = 185.2573 , 228.3223 
hx = 0.225, hy = 0.375, a = 0.443, w = 0.7, gamma = 0.09229, freqs = 184.4047 , 225.7636 
hx = 0.225, hy = 0.4, a = 0.443, w = 0.7, gamma = 0.09278, freqs = 184.9408 , 227.7877 
hx = 0.225, hy = 0.375, a = 0.444, w = 0.7, gamma = 0.09279, freqs = 184.1067 , 225.2785 
hx = 0.225, hy = 0.4, a = 0.444, w = 0.7, gamma = 0.09334, freqs = 184.6378 , 227.2557 
hx = 0.225, hy = 0.4, a = 0.445, w = 0.7, gamma = 0.09388, freqs = 184.3381 , 226.742 
hx = 0.225, hy = 0.4, a = 0.446, w = 0.7, gamma = 0.09443, freqs = 184.0092 , 226.1896 
hx = 0.225, hy = 0.4, a = 0.447, w = 0.7, gamma = 0.09488, freqs = 183.7922 , 225.8945 
hx = 0.225, hy = 0.4, a = 0.448, w = 0.7, gamma = 0.09531, freqs = 183.4797 , 225.3496 
hx = 0.225, hy = 0.425, a = 0.448, w = 0.7, gamma = 0.0954, freqs = 184.0677 , 227.0741 
hx = 0.225, hy = 0.4, a = 0.449, w = 0.7, gamma = 0.09569, freqs = 183.1796 , 224.8291 
hx = 0.225, hy = 0.425, a = 0.449, w = 0.7, gamma = 0.09588, freqs = 183.7694 , 226.559 
hx = 0.225, hy = 0.4, a = 0.45, w = 0.7, gamma = 0.09603, freqs = 182.8814 , 224.3109 
hx = 0.225, hy = 0.425, a = 0.45, w = 0.7, gamma = 0.09632, freqs = 183.4645 , 226.0198 
run_count : 53945
