hx = 0.15, hy = 0.3, a = 0.353, w = 0.65, freqs = [187.58733455 228.1843298 ], gamma = 0.08165
hx = 0.15, hy = 0.325, a = 0.353, w = 0.65, freqs = [188.0531384  231.10466161], gamma = 0.08249
hx = 0.15, hy = 0.3, a = 0.354, w = 0.65, freqs = [187.25918953 227.6854095 ], gamma = 0.0826
hx = 0.15, hy = 0.325, a = 0.354, w = 0.65, freqs = [187.72757191 230.57979906], gamma = 0.08354
hx = 0.15, hy = 0.35, a = 0.354, w = 0.65, freqs = [188.24632714 233.25438703], gamma = 0.08361
hx = 0.15, hy = 0.325, a = 0.355, w = 0.65, freqs = [187.46776452 230.23574956], gamma = 0.08443
hx = 0.15, hy = 0.35, a = 0.355, w = 0.65, freqs = [187.99949431 232.93937557], gamma = 0.08456
hx = 0.15, hy = 0.325, a = 0.356, w = 0.65, freqs = [187.135265   229.68255452], gamma = 0.08539
hx = 0.15, hy = 0.35, a = 0.356, w = 0.65, freqs = [187.66484738 232.36081934], gamma = 0.08566
hx = 0.15, hy = 0.325, a = 0.358, w = 0.65, freqs = [186.80012464 228.96875851], gamma = 0.08614
hx = 0.15, hy = 0.35, a = 0.358, w = 0.65, freqs = [187.33099686 231.59482134], gamma = 0.0865
hx = 0.15, hy = 0.325, a = 0.359, w = 0.65, freqs = [186.45530618 228.39045259], gamma = 0.08702
hx = 0.15, hy = 0.35, a = 0.359, w = 0.65, freqs = [186.99205693 231.02589776], gamma = 0.08751
hx = 0.175, hy = 0.3, a = 0.36, w = 0.65, freqs = [187.51682201 233.5370956 ], gamma = 0.08755
hx = 0.15, hy = 0.325, a = 0.36, w = 0.65, freqs = [186.11351394 227.84563584], gamma = 0.08787
hx = 0.175, hy = 0.325, a = 0.36, w = 0.65, freqs = [188.04935156 236.92594338], gamma = 0.088
hx = 0.15, hy = 0.35, a = 0.36, w = 0.65, freqs = [186.65224167 230.4447636 ], gamma = 0.08846
hx = 0.175, hy = 0.3, a = 0.361, w = 0.65, freqs = [187.15176939 232.99758266], gamma = 0.0888
hx = 0.175, hy = 0.325, a = 0.361, w = 0.65, freqs = [187.68458849 236.35936959], gamma = 0.08939
hx = 0.175, hy = 0.3, a = 0.362, w = 0.65, freqs = [186.83511865 232.658905  ], gamma = 0.08997
hx = 0.175, hy = 0.325, a = 0.362, w = 0.65, freqs = [187.36607645 235.99725686], gamma = 0.09067
hx = 0.175, hy = 0.3, a = 0.363, w = 0.65, freqs = [186.46880198 232.07696755], gamma = 0.09108
hx = 0.175, hy = 0.325, a = 0.363, w = 0.65, freqs = [186.9913125  235.37503648], gamma = 0.09194
hx = 0.175, hy = 0.3, a = 0.364, w = 0.65, freqs = [186.10226203 231.51073198], gamma = 0.09215
hx = 0.175, hy = 0.325, a = 0.364, w = 0.65, freqs = [186.62267677 234.72847522], gamma = 0.0931
hx = 0.175, hy = 0.35, a = 0.364, w = 0.65, freqs = [187.21042491 237.91564527], gamma = 0.09324
hx = 0.175, hy = 0.325, a = 0.365, w = 0.65, freqs = [186.26181031 234.16897243], gamma = 0.09425
hx = 0.175, hy = 0.35, a = 0.365, w = 0.65, freqs = [186.84051641 237.28374959], gamma = 0.09452
hx = 0.175, hy = 0.325, a = 0.366, w = 0.65, freqs = [185.88590791 233.56659831], gamma = 0.09537
hx = 0.175, hy = 0.35, a = 0.366, w = 0.65, freqs = [186.47013179 236.65941575], gamma = 0.09575
hx = 0.175, hy = 0.325, a = 0.367, w = 0.65, freqs = [185.5202993  232.95724633], gamma = 0.09638
hx = 0.175, hy = 0.35, a = 0.367, w = 0.65, freqs = [186.09553445 235.97116519], gamma = 0.09688
hx = 0.175, hy = 0.325, a = 0.368, w = 0.65, freqs = [185.20334851 232.59209044], gamma = 0.09739
hx = 0.175, hy = 0.35, a = 0.368, w = 0.65, freqs = [185.78705309 235.61454708], gamma = 0.09798
hx = 0.175, hy = 0.325, a = 0.369, w = 0.65, freqs = [184.83771601 231.93232682], gamma = 0.09825
hx = 0.175, hy = 0.35, a = 0.369, w = 0.65, freqs = [185.42948565 235.02052298], gamma = 0.09902
hx = 0.175, hy = 0.375, a = 0.369, w = 0.65, freqs = [186.06985135 238.06959066], gamma = 0.09907
hx = 0.175, hy = 0.35, a = 0.37, w = 0.65, freqs = [185.06632762 234.39260222], gamma = 0.1
