hx = 0.15, hy = 0.3, a = 0.337, w = 0.65, freqs = [186.93523869 230.24565419], gamma = 0.08693
hx = 0.15, hy = 0.325, a = 0.337, w = 0.65, freqs = [187.42081715 233.36053555], gamma = 0.08785
hx = 0.15, hy = 0.35, a = 0.337, w = 0.65, freqs = [187.96122329 236.47600441], gamma = 0.08806
hx = 0.15, hy = 0.325, a = 0.338, w = 0.65, freqs = [187.04061898 232.75908538], gamma = 0.08909
hx = 0.15, hy = 0.35, a = 0.338, w = 0.65, freqs = [187.57984457 235.86872399], gamma = 0.08947
hx = 0.15, hy = 0.325, a = 0.339, w = 0.65, freqs = [186.67400027 232.16701482], gamma = 0.09022
hx = 0.15, hy = 0.35, a = 0.339, w = 0.65, freqs = [187.21225926 235.28332475], gamma = 0.09076
hx = 0.15, hy = 0.325, a = 0.34, w = 0.65, freqs = [186.29913365 231.54139499], gamma = 0.09128
hx = 0.15, hy = 0.35, a = 0.34, w = 0.65, freqs = [186.83912164 234.68716227], gamma = 0.09201
hx = 0.15, hy = 0.325, a = 0.341, w = 0.65, freqs = [185.92250053 230.91785476], gamma = 0.09229
hx = 0.15, hy = 0.35, a = 0.341, w = 0.65, freqs = [186.46314256 234.06195172], gamma = 0.09319
hx = 0.15, hy = 0.325, a = 0.342, w = 0.65, freqs = [185.55542851 230.35643717], gamma = 0.09328
hx = 0.15, hy = 0.35, a = 0.342, w = 0.65, freqs = [186.0855477  233.40382996], gamma = 0.09427
hx = 0.15, hy = 0.375, a = 0.342, w = 0.65, freqs = [186.70105897 236.42374765], gamma = 0.09439
hx = 0.15, hy = 0.35, a = 0.343, w = 0.65, freqs = [185.76574555 233.00241441], gamma = 0.09531
hx = 0.15, hy = 0.375, a = 0.343, w = 0.65, freqs = [186.37274341 235.92301547], gamma = 0.0955
hx = 0.15, hy = 0.35, a = 0.344, w = 0.65, freqs = [185.3908877  232.37015242], gamma = 0.09631
hx = 0.15, hy = 0.375, a = 0.344, w = 0.65, freqs = [185.99752954 235.25468222], gamma = 0.09662
hx = 0.15, hy = 0.35, a = 0.345, w = 0.65, freqs = [185.00805775 231.70144195], gamma = 0.09724
hx = 0.15, hy = 0.375, a = 0.345, w = 0.65, freqs = [185.61255496 234.54629653], gamma = 0.09767
hx = 0.15, hy = 0.35, a = 0.346, w = 0.65, freqs = [184.62160816 230.99114151], gamma = 0.09807
hx = 0.15, hy = 0.375, a = 0.346, w = 0.65, freqs = [185.22913337 233.85934389], gamma = 0.09868
hx = 0.15, hy = 0.35, a = 0.347, w = 0.65, freqs = [184.25083911 230.39277988], gamma = 0.09892
hx = 0.15, hy = 0.375, a = 0.347, w = 0.65, freqs = [184.85654708 233.21370135], gamma = 0.09963
hx = 0.15, hy = 0.375, a = 0.348, w = 0.65, freqs = [184.73590491 232.85017477], gamma = 0.09975
hx = 0.175, hy = 0.325, a = 0.349, w = 0.65, freqs = [185.45112981 235.81998278], gamma = 0.09976
hx = 0.15, hy = 0.35, a = 0.349, w = 0.65, freqs = [183.7877391  229.57230391], gamma = 0.09981
hx = 0.175, hy = 0.35, a = 0.349, w = 0.65, freqs = [186.05599912 239.52234719], gamma = 0.10052
hx = 0.15, hy = 0.375, a = 0.349, w = 0.65, freqs = [184.3979862  232.33303729], gamma = 0.10062
hx = 0.175, hy = 0.325, a = 0.35, w = 0.65, freqs = [185.04266725 235.1722991 ], gamma = 0.10095
hx = 0.175, hy = 0.35, a = 0.35, w = 0.65, freqs = [185.63865969 238.79675927], gamma = 0.10186
hx = 0.175, hy = 0.325, a = 0.351, w = 0.65, freqs = [184.64207956 234.55523376], gamma = 0.10208
hx = 0.175, hy = 0.35, a = 0.351, w = 0.65, freqs = [185.23246609 238.10710907], gamma = 0.10312
hx = 0.175, hy = 0.375, a = 0.351, w = 0.65, freqs = [185.90006628 241.6015998 ], gamma = 0.10322
hx = 0.175, hy = 0.35, a = 0.352, w = 0.65, freqs = [184.87503597 237.55146826], gamma = 0.10423
hx = 0.175, hy = 0.375, a = 0.352, w = 0.65, freqs = [185.54005445 241.02491241], gamma = 0.10447
hx = 0.175, hy = 0.35, a = 0.353, w = 0.65, freqs = [184.51931595 237.03500107], gamma = 0.10532
