hx = 0.25, hy = 0.425, a = 0.413, w = 0.65, gamma = 0.15373
hx = 0.25, hy = 0.425, a = 0.414, w = 0.65, gamma = 0.15427
hx = 0.25, hy = 0.45, a = 0.414, w = 0.65, gamma = 0.15433
hx = 0.25, hy = 0.425, a = 0.415, w = 0.65, gamma = 0.15506
hx = 0.25, hy = 0.45, a = 0.415, w = 0.65, gamma = 0.15518
hx = 0.25, hy = 0.425, a = 0.416, w = 0.65, gamma = 0.15548
hx = 0.25, hy = 0.45, a = 0.416, w = 0.65, gamma = 0.15571
hx = 0.25, hy = 0.425, a = 0.417, w = 0.65, gamma = 0.15588
hx = 0.25, hy = 0.45, a = 0.417, w = 0.65, gamma = 0.15621
hx = 0.25, hy = 0.425, a = 0.418, w = 0.65, gamma = 0.15625
hx = 0.25, hy = 0.45, a = 0.418, w = 0.65, gamma = 0.15667
hx = 0.25, hy = 0.45, a = 0.419, w = 0.65, gamma = 0.15706
hx = 0.25, hy = 0.45, a = 0.42, w = 0.65, gamma = 0.15736
hx = 0.25, hy = 0.45, a = 0.421, w = 0.65, gamma = 0.15755
hx = 0.25, hy = 0.45, a = 0.422, w = 0.65, gamma = 0.15779
hx = 0.275, hy = 0.425, a = 0.423, w = 0.65, gamma = 0.15802
hx = 0.25, hy = 0.45, a = 0.423, w = 0.65, gamma = 0.15802
hx = 0.275, hy = 0.425, a = 0.424, w = 0.65, gamma = 0.15882
hx = 0.275, hy = 0.425, a = 0.425, w = 0.65, gamma = 0.15938
hx = 0.275, hy = 0.425, a = 0.426, w = 0.65, gamma = 0.15991
hx = 0.275, hy = 0.425, a = 0.427, w = 0.65, gamma = 0.16042
hx = 0.275, hy = 0.425, a = 0.428, w = 0.65, gamma = 0.16086
hx = 0.275, hy = 0.45, a = 0.428, w = 0.65, gamma = 0.16094
hx = 0.275, hy = 0.425, a = 0.429, w = 0.65, gamma = 0.1613
hx = 0.275, hy = 0.45, a = 0.429, w = 0.65, gamma = 0.16145
hx = 0.275, hy = 0.425, a = 0.43, w = 0.65, gamma = 0.16173
hx = 0.275, hy = 0.45, a = 0.43, w = 0.65, gamma = 0.16198
hx = 0.275, hy = 0.425, a = 0.431, w = 0.65, gamma = 0.16217
hx = 0.275, hy = 0.45, a = 0.431, w = 0.65, gamma = 0.16248
