wvg_height = 0.19 , mode = yO, SUBSRATE = True
hx = 0.15, hy = 0.275, a = 0.342, w = 0.65, freqs = [190.42480593 229.73187228], gamma = 0.06877
hx = 0.125, hy = 0.3, a = 0.342, w = 0.65, freqs = [189.24468706 224.05412737], gamma = 0.06928
hx = 0.125, hy = 0.325, a = 0.342, w = 0.65, freqs = [189.65234747 226.25631165], gamma = 0.0696
hx = 0.15, hy = 0.25, a = 0.343, w = 0.65, freqs = [189.66371975 226.3218877 ], gamma = 0.06961
hx = 0.15, hy = 0.275, a = 0.343, w = 0.65, freqs = [190.03504361 229.25329274], gamma = 0.07048
hx = 0.125, hy = 0.3, a = 0.343, w = 0.65, freqs = [188.86924607 223.55107071], gamma = 0.07049
hx = 0.15, hy = 0.3, a = 0.343, w = 0.65, freqs = [190.45403522 232.17458911], gamma = 0.07069
hx = 0.125, hy = 0.325, a = 0.343, w = 0.65, freqs = [189.27628591 225.74865949], gamma = 0.07095
hx = 0.15, hy = 0.25, a = 0.344, w = 0.65, freqs = [189.26642316 225.75943984], gamma = 0.07101
hx = 0.15, hy = 0.275, a = 0.344, w = 0.65, freqs = [189.63406606 228.65584583], gamma = 0.07206
hx = 0.15, hy = 0.3, a = 0.344, w = 0.65, freqs = [190.05295572 231.55617951], gamma = 0.07244
hx = 0.15, hy = 0.275, a = 0.345, w = 0.65, freqs = [189.23377774 228.06091451], gamma = 0.07354
hx = 0.15, hy = 0.3, a = 0.345, w = 0.65, freqs = [189.65194454 230.93561646], gamma = 0.07409
hx = 0.15, hy = 0.275, a = 0.346, w = 0.65, freqs = [188.83761096 227.44900637], gamma = 0.07489
hx = 0.15, hy = 0.3, a = 0.346, w = 0.65, freqs = [189.24823253 230.22433973], gamma = 0.07557
hx = 0.15, hy = 0.325, a = 0.346, w = 0.65, freqs = [189.71443851 233.10241687], gamma = 0.07566
hx = 0.15, hy = 0.275, a = 0.347, w = 0.65, freqs = [188.46669007 226.90044303], gamma = 0.0761
hx = 0.15, hy = 0.3, a = 0.347, w = 0.65, freqs = [188.86760704 229.58316525], gamma = 0.0769
hx = 0.15, hy = 0.325, a = 0.347, w = 0.65, freqs = [189.32919403 232.41127895], gamma = 0.07716
hx = 0.15, hy = 0.275, a = 0.348, w = 0.65, freqs = [188.08775533 226.27941783], gamma = 0.0772
hx = 0.15, hy = 0.3, a = 0.348, w = 0.65, freqs = [188.50051037 229.02271824], gamma = 0.07817
hx = 0.15, hy = 0.325, a = 0.348, w = 0.65, freqs = [188.95627029 231.85622604], gamma = 0.07863
hx = 0.15, hy = 0.3, a = 0.349, w = 0.65, freqs = [188.19002141 228.68687802], gamma = 0.07934
hx = 0.15, hy = 0.325, a = 0.349, w = 0.65, freqs = [188.64306046 231.49032028], gamma = 0.0799
hx = 0.15, hy = 0.3, a = 0.35, w = 0.65, freqs = [187.822551   228.11085836], gamma = 0.08047
hx = 0.15, hy = 0.325, a = 0.35, w = 0.65, freqs = [188.27056028 230.87327129], gamma = 0.08118
hx = 0.15, hy = 0.35, a = 0.35, w = 0.65, freqs = [188.78264824 233.64352697], gamma = 0.08119
hx = 0.15, hy = 0.3, a = 0.351, w = 0.65, freqs = [187.45703459 227.51139635], gamma = 0.0815
hx = 0.15, hy = 0.325, a = 0.351, w = 0.65, freqs = [187.89892031 230.26443208], gamma = 0.08239
hx = 0.15, hy = 0.35, a = 0.351, w = 0.65, freqs = [188.41316149 233.03874296], gamma = 0.08255
hx = 0.15, hy = 0.325, a = 0.352, w = 0.65, freqs = [187.5382056  229.70332374], gamma = 0.08353
hx = 0.15, hy = 0.35, a = 0.352, w = 0.65, freqs = [188.04858083 232.40414456], gamma = 0.0838
hx = 0.15, hy = 0.325, a = 0.353, w = 0.65, freqs = [187.20178305 229.19049331], gamma = 0.08454
hx = 0.15, hy = 0.35, a = 0.353, w = 0.65, freqs = [187.71417156 231.86844687], gamma = 0.08492
hx = 0.15, hy = 0.325, a = 0.354, w = 0.65, freqs = [186.86978266 228.65646528], gamma = 0.08547
hx = 0.15, hy = 0.35, a = 0.354, w = 0.65, freqs = [187.37139594 231.24149845], gamma = 0.08594
hx = 0.15, hy = 0.325, a = 0.355, w = 0.65, freqs = [186.62928613 228.35026543], gamma = 0.0862
hx = 0.15, hy = 0.35, a = 0.355, w = 0.65, freqs = [187.14475193 230.96199294], gamma = 0.08672
hx = 0.15, hy = 0.325, a = 0.356, w = 0.65, freqs = [186.29618202 227.79728831], gamma = 0.08702
hx = 0.15, hy = 0.35, a = 0.356, w = 0.65, freqs = [186.80975401 230.39420049], gamma = 0.08768
hx = 0.175, hy = 0.325, a = 0.358, w = 0.65, freqs = [187.91511174 235.85857701], gamma = 0.08774
hx = 0.15, hy = 0.35, a = 0.358, w = 0.65, freqs = [186.4692033  229.60659215], gamma = 0.08835
hx = 0.175, hy = 0.3, a = 0.359, w = 0.65, freqs = [187.02017859 231.96818339], gamma = 0.08837
hx = 0.175, hy = 0.325, a = 0.359, w = 0.65, freqs = [187.53672966 235.23660567], gamma = 0.08909
hx = 0.15, hy = 0.35, a = 0.359, w = 0.65, freqs = [186.12925231 229.03845706], gamma = 0.08922
hx = 0.15, hy = 0.375, a = 0.359, w = 0.65, freqs = [186.72158493 231.47349248], gamma = 0.08925
hx = 0.175, hy = 0.3, a = 0.36, w = 0.65, freqs = [186.65636331 231.41795386], gamma = 0.0895
hx = 0.175, hy = 0.325, a = 0.36, w = 0.65, freqs = [187.17449359 234.68410591], gamma = 0.09037
hx = 0.175, hy = 0.3, a = 0.361, w = 0.65, freqs = [186.29014008 230.87602473], gamma = 0.09059
hx = 0.175, hy = 0.325, a = 0.361, w = 0.65, freqs = [186.80881869 234.11389494], gamma = 0.09159
hx = 0.175, hy = 0.35, a = 0.361, w = 0.65, freqs = [187.37820893 237.19538894], gamma = 0.09172
hx = 0.175, hy = 0.325, a = 0.362, w = 0.65, freqs = [186.49306014 233.75353545], gamma = 0.09273
hx = 0.175, hy = 0.35, a = 0.362, w = 0.65, freqs = [187.05902774 236.78566018], gamma = 0.09296
hx = 0.175, hy = 0.325, a = 0.363, w = 0.65, freqs = [186.11975268 233.13583557], gamma = 0.09383
hx = 0.175, hy = 0.35, a = 0.363, w = 0.65, freqs = [186.6881923  236.15344664], gamma = 0.09419
hx = 0.175, hy = 0.325, a = 0.364, w = 0.65, freqs = [185.75192964 232.50954732], gamma = 0.09484
hx = 0.175, hy = 0.35, a = 0.364, w = 0.65, freqs = [186.32095975 235.54729001], gamma = 0.09537
hx = 0.175, hy = 0.325, a = 0.365, w = 0.65, freqs = [185.3872469  231.93328296], gamma = 0.09583
hx = 0.175, hy = 0.35, a = 0.365, w = 0.65, freqs = [185.94927622 234.91436943], gamma = 0.09649
hx = 0.175, hy = 0.325, a = 0.366, w = 0.65, freqs = [185.01003539 231.32793053], gamma = 0.0968
hx = 0.175, hy = 0.35, a = 0.366, w = 0.65, freqs = [185.57644261 234.2896669 ], gamma = 0.09757
hx = 0.175, hy = 0.375, a = 0.366, w = 0.65, freqs = [186.2031596 237.2570889], gamma = 0.09763
hx = 0.175, hy = 0.325, a = 0.367, w = 0.65, freqs = [184.64121592 230.71467551], gamma = 0.09766
hx = 0.175, hy = 0.35, a = 0.367, w = 0.65, freqs = [185.1979921 233.5962531], gamma = 0.09854
hx = 0.175, hy = 0.375, a = 0.367, w = 0.65, freqs = [185.8276138  236.60167716], gamma = 0.09879
hx = 0.175, hy = 0.35, a = 0.368, w = 0.65, freqs = [184.89579535 233.24962051], gamma = 0.0995
hx = 0.175, hy = 0.375, a = 0.368, w = 0.65, freqs = [185.51876094 236.209425  ], gamma = 0.09985
hx = 0.175, hy = 0.35, a = 0.369, w = 0.65, freqs = [184.53939087 232.6584965 ], gamma = 0.10039
hx = 0.175, hy = 0.375, a = 0.369, w = 0.65, freqs = [185.15790622 235.57691992], gamma = 0.10086
hx = 0.175, hy = 0.35, a = 0.37, w = 0.65, freqs = [184.17632294 232.03502771], gamma = 0.10122
hx = 0.175, hy = 0.375, a = 0.37, w = 0.65, freqs = [184.79586018 234.94403982], gamma = 0.10182
hx = 0.175, hy = 0.35, a = 0.371, w = 0.65, freqs = [183.81588386 231.40802918], gamma = 0.10199
hx = 0.175, hy = 0.375, a = 0.371, w = 0.65, freqs = [184.4326326 234.294868 ], gamma = 0.10272
hx = 0.175, hy = 0.375, a = 0.372, w = 0.65, freqs = [184.07399157 233.6399112 ], gamma = 0.10355
hx = 0.175, hy = 0.375, a = 0.373, w = 0.65, freqs = [183.75437338 233.09856475], gamma = 0.10429
hx = 0.175, hy = 0.375, a = 0.374, w = 0.65, freqs = [183.43017907 232.54624084], gamma = 0.10499
hx = 0.175, hy = 0.375, a = 0.375, w = 0.65, freqs = [183.09234071 231.90958437], gamma = 0.10561
hx = 0.175, hy = 0.4, a = 0.375, w = 0.65, freqs = [183.79846608 234.50728251], gamma = 0.10574
hx = 0.2, hy = 0.35, a = 0.376, w = 0.65, freqs = [184.53871975 237.58038025], gamma = 0.10581
hx = 0.175, hy = 0.375, a = 0.376, w = 0.65, freqs = [182.84884798 231.55182982], gamma = 0.10616
hx = 0.175, hy = 0.4, a = 0.376, w = 0.65, freqs = [183.56782893 234.14715341], gamma = 0.10632
hx = 0.2, hy = 0.35, a = 0.377, w = 0.65, freqs = [184.19191238 237.02094515], gamma = 0.10679
hx = 0.2, hy = 0.375, a = 0.377, w = 0.65, freqs = [184.86863154 240.36407728], gamma = 0.10708
hx = 0.2, hy = 0.35, a = 0.378, w = 0.65, freqs = [183.83905839 236.40645587], gamma = 0.1077
hx = 0.2, hy = 0.375, a = 0.378, w = 0.65, freqs = [184.52171925 239.77301715], gamma = 0.10813
hx = 0.2, hy = 0.35, a = 0.379, w = 0.65, freqs = [183.48390599 235.8275967 ], gamma = 0.10861
hx = 0.2, hy = 0.375, a = 0.379, w = 0.65, freqs = [184.17645192 239.17011835], gamma = 0.10912
hx = 0.2, hy = 0.375, a = 0.38, w = 0.65, freqs = [184.04363694 238.82444099], gamma = 0.10937
hx = 0.2, hy = 0.375, a = 0.381, w = 0.65, freqs = [183.85652915 238.35318017], gamma = 0.10972
hx = 0.2, hy = 0.35, a = 0.382, w = 0.65, freqs = [182.83672151 234.56545158], gamma = 0.10991
hx = 0.2, hy = 0.375, a = 0.382, w = 0.65, freqs = [183.51620839 237.77781761], gamma = 0.11063
hx = 0.2, hy = 0.35, a = 0.383, w = 0.65, freqs = [182.52855972 234.1884729 ], gamma = 0.11075
hx = 0.2, hy = 0.375, a = 0.383, w = 0.65, freqs = [183.20784145 237.36280281], gamma = 0.11153
hx = 0.2, hy = 0.375, a = 0.384, w = 0.65, freqs = [182.84759562 236.70690103], gamma = 0.11236
hx = 0.2, hy = 0.375, a = 0.385, w = 0.65, freqs = [182.49160712 236.05560508], gamma = 0.11313
hx = 0.2, hy = 0.4, a = 0.385, w = 0.65, freqs = [183.25760371 239.0673351 ], gamma = 0.11317
hx = 0.2, hy = 0.375, a = 0.386, w = 0.65, freqs = [182.13962031 235.41817434], gamma = 0.11385
hx = 0.2, hy = 0.4, a = 0.386, w = 0.65, freqs = [182.90649654 238.43697605], gamma = 0.11404
hx = 0.2, hy = 0.375, a = 0.387, w = 0.65, freqs = [181.78740955 234.76888014], gamma = 0.11452
hx = 0.2, hy = 0.4, a = 0.387, w = 0.65, freqs = [182.55194771 237.78534015], gamma = 0.11486
hx = 0.2, hy = 0.375, a = 0.388, w = 0.65, freqs = [181.44068463 234.15922712], gamma = 0.11517
hx = 0.2, hy = 0.4, a = 0.388, w = 0.65, freqs = [182.20363748 237.15846559], gamma = 0.11563
hx = 0.2, hy = 0.375, a = 0.389, w = 0.65, freqs = [181.08717948 233.52507505], gamma = 0.11578
hx = 0.2, hy = 0.4, a = 0.389, w = 0.65, freqs = [181.84967901 236.52140078], gamma = 0.11638
hx = 0.2, hy = 0.375, a = 0.39, w = 0.65, freqs = [180.76282139 233.04335289], gamma = 0.11643
hx = 0.2, hy = 0.4, a = 0.39, w = 0.65, freqs = [181.52209577 236.00446326], gamma = 0.11712
hx = 0.2, hy = 0.4, a = 0.391, w = 0.65, freqs = [181.19089241 235.42083153], gamma = 0.11776
hx = 0.2, hy = 0.4, a = 0.392, w = 0.65, freqs = [180.84375586 234.78129223], gamma = 0.11836
hx = 0.2, hy = 0.4, a = 0.393, w = 0.65, freqs = [180.49094272 234.11016192], gamma = 0.1189
